Uniprot_ID,Query Cover,E value,Per_ident,Acc. Len,Accession  ,,Uniprot_ID,
A0A011PTV8,99%,0,61.84,1235,Query_53771,,A0A011PTV8,TRUE
A0A011QQ52,99%,0,61.89,1235,Query_53772,,A0A011QQ52,TRUE
A0A011UWC2,99%,0,61.12,1269,Query_53773,,A0A011UWC2,TRUE
A0A014MEJ6,96%,2.00E-178,31.15,1167,Query_53774,,A0A014MEJ6,TRUE
A0A015LZN5,96%,0,38.62,1145,Query_53775,,A0A015LZN5,TRUE
A0A016QR17,99%,0,60.07,1230,Query_53776,,A0A016QR17,TRUE
A0A017TH95,99%,0,57.41,1251,Query_53777,,A0A017TH95,TRUE
A0A021WZI2,99%,0,61.87,1263,Query_53778,,A0A021WZI2,TRUE
A0A023D1G6,97%,5.00E-169,31.6,1168,Query_53779,,A0A023D1G6,TRUE
A0A023X0L4,99%,0,65.53,1260,Query_53780,,A0A023X0L4,TRUE
A0A024P9I7,96%,0,36.96,1151,Query_53781,,A0A024P9I7,TRUE
A0A024USD9,99%,0,53.92,1280,Query_53782,,A0A024USD9,TRUE
A0A024YLP1,96%,1.00E-180,31.94,1170,Query_53783,,A0A024YLP1,TRUE
A0A031GWH0,99%,0,60.02,1264,Query_53784,,A0A031GWH0,TRUE
A0A059W479,96%,0,32.26,1169,Query_53785,,A0A059W479,TRUE
A0A060HZ87,99%,0,62.29,1257,Query_53786,,A0A060HZ87,TRUE
A0A060ZYY2,96%,2.00E-178,31.23,1167,Query_53787,,A0A060ZYY2,TRUE
A0A061JJQ2,99%,0,66.48,1230,Query_53788,,A0A061JJQ2,TRUE
A0A063Y2N7,99%,0,68.02,1265,Query_53789,,A0A063Y2N7,TRUE
A0A066RQU6,99%,0,74.98,1222,Query_53790,,A0A066RQU6,TRUE
A0A067CQR9,99%,0,54,1279,Query_53791,,A0A067CQR9,TRUE
A0A067Z4Q9,97%,4.00E-176,31.57,1168,Query_53792,,A0A067Z4Q9,TRUE
A0A068RQ72,99%,0,56.07,1243,Query_53793,,A0A068RQ72,TRUE
A0A069DAX0,96%,0,38.05,1146,Query_53794,,A0A069DAX0,TRUE
A0A071M1F7,100%,0,89.16,1227,Query_53795,,A0A071M1F7,TRUE
A0A072NBS6,99%,0,58.62,1244,Query_53796,,A0A072NBS6,TRUE
A0A073AXH0,96%,8.00E-175,32.16,1188,Query_53797,,A0A073AXH0,TRUE
A0A073CHD0,95%,0,31.84,1172,Query_53798,,A0A073CHD0,TRUE
A0A073JZ69,96%,0,37.23,1132,Query_53799,,A0A073JZ69,TRUE
A0A074LXS8,96%,0,38.25,1145,Query_53800,,A0A074LXS8,TRUE
A0A076H226,95%,3.00E-178,31.36,1195,Query_53801,,A0A076H226,TRUE
A0A076H789,95%,4.00E-179,31.9,1194,Query_53802,,A0A076H789,TRUE
A0A076LKG5,98%,0,77.56,1226,Query_53803,,A0A076LKG5,TRUE
A0A076MSP4,96%,1.00E-167,32.35,1180,Query_53804,,A0A076MSP4,TRUE
A0A076MZ46,99%,0,55.56,1202,Query_53805,,A0A076MZ46,TRUE
A0A077JC52,95%,6.00E-174,29.94,1192,Query_53806,,A0A077JC52,TRUE
A0A077LLJ8,99%,0,66.48,1239,Query_53807,,A0A077LLJ8,TRUE
A0A077M2A6,99%,0,62.55,1261,Query_53808,,A0A077M2A6,TRUE
A0A077M8Y4,99%,0,62.19,1238,Query_53809,,A0A077M8Y4,TRUE
A0A077ZNC0,99%,0,51.93,1264,Query_53810,,A0A077ZNC0,TRUE
A0A078KE00,99%,0,60.29,1229,Query_53811,,A0A078KE00,TRUE
A0A078LQX8,99%,0,65.99,1236,Query_53812,,A0A078LQX8,TRUE
A0A078MBN8,96%,0,38.77,1151,Query_53813,,A0A078MBN8,TRUE
A0A078MJP6,99%,0,66.5,1230,Query_53814,,A0A078MJP6,TRUE
A0A080M2Y4,99%,0,62.31,1238,Query_53815,,A0A080M2Y4,TRUE
A0A081GQS0,95%,1.00E-169,30.62,1241,Query_53816,,A0A081GQS0,TRUE
A0A081KCJ1,99%,0,65.38,1227,Query_53817,,A0A081KCJ1,TRUE
A0A081NCF3,99%,0,65.49,1236,Query_53818,,A0A081NCF3,TRUE
A0A081PGR8,99%,0,59.54,1219,Query_53819,,A0A081PGR8,TRUE
A0A084A434,100%,0,83.86,1227,Query_53820,,A0A084A434,TRUE
A0A084U8D1,98%,0,62.14,1264,Query_53821,,A0A084U8D1,TRUE
A0A085FLN3,98%,0,61.31,1250,Query_53822,,A0A085FLN3,TRUE
A0A085G704,100%,0,86.23,1239,Query_53823,,A0A085G704,TRUE
A0A085HB31,100%,0,83.62,1227,Query_53824,,A0A085HB31,TRUE
A0A085L1N8,99%,0,60.6,1235,Query_53825,,A0A085L1N8,TRUE
A0A085W8A3,96%,0,35.28,1170,Query_53826,,A0A085W8A3,TRUE
A0A086D424,99%,0,66.75,1253,Query_53827,,A0A086D424,TRUE
A0A086N5H6,96%,8.00E-178,31.42,1170,Query_53828,,A0A086N5H6,TRUE
A0A086YA00,99%,0,61.29,1251,Query_53829,,A0A086YA00,TRUE
A0A087K2R0,96%,2.00E-171,30.28,1171,Query_53830,,A0A087K2R0,TRUE
A0A087MMI1,99%,0,62.38,1236,Query_53831,,A0A087MMI1,TRUE
A0A087YB02,99%,0,54.83,1271,Query_53832,,A0A087YB02,TRUE
A0A088QJW7,96%,3.00E-154,30.31,1219,Query_53833,,A0A088QJW7,TRUE
A0A089I6P6,96%,0,37.07,1145,Query_53834,,A0A089I6P6,TRUE
A0A089X2V5,96%,0,32.7,1170,Query_53835,,A0A089X2V5,TRUE
A0A090APY0,99%,0,67.48,1232,Query_53836,,A0A090APY0,TRUE
A0A090INF2,99%,0,72.79,1243,Query_53837,,A0A090INF2,TRUE
A0A090LNH9,98%,0,51.88,1261,Query_53838,,A0A090LNH9,TRUE
A0A090ZDQ2,96%,0,38.47,1146,Query_53839,,A0A090ZDQ2,TRUE
A0A091AWH2,99%,0,60.9,1251,Query_53840,,A0A091AWH2,TRUE
A0A091B2M1,99%,0,62.95,1252,Query_53841,,A0A091B2M1,TRUE
A0A091BH82,99%,0,61.39,1255,Query_53842,,A0A091BH82,TRUE
A0A091BK68,99%,0,62.37,1255,Query_53843,,A0A091BK68,TRUE
A0A094JHG7,99%,0,66.15,1240,Query_53844,,A0A094JHG7,TRUE
A0A094P4V4,96%,3.00E-174,30.84,1157,Query_53845,,A0A094P4V4,TRUE
A0A094P8D7,97%,0,31.6,1197,Query_53846,,A0A094P8D7,TRUE
A0A094PB39,95%,6.00E-161,31.51,1143,Query_53847,,A0A094PB39,TRUE
A0A094PIV5,96%,5.00E-172,30.74,1157,Query_53848,,A0A094PIV5,TRUE
A0A094WN38,96%,0,37.27,1147,Query_53849,,A0A094WN38,TRUE
A0A095UKA5,99%,0,67.16,1235,Query_53850,,A0A095UKA5,TRUE
A0A095XV42,99%,0,63.93,1231,Query_53851,,A0A095XV42,TRUE
A0A096MGR4,99%,0,54.43,1268,Query_53852,,A0A096MGR4,TRUE
A0A097QY11,100%,0,84.84,1227,Query_53853,,A0A097QY11,TRUE
A0A098BDT4,96%,0,33.85,1189,Query_53854,,A0A098BDT4,TRUE
A0A098BXI9,99%,0,52.3,1233,Query_53855,,A0A098BXI9,TRUE
A0A098FQV8,99%,0,66.72,1230,Query_53856,,A0A098FQV8,TRUE
A0A098LFY3,98%,0,58.8,1242,Query_53857,,A0A098LFY3,TRUE
A0A098R0T0,96%,1.00E-170,31.16,1140,Query_53858,,A0A098R0T0,TRUE
A0A098S5R2,99%,0,62.93,1225,Query_53859,,A0A098S5R2,TRUE
A0A098U7V9,99%,0,61.12,1251,Query_53860,,A0A098U7V9,TRUE
A0A098YFP1,99%,0,62.45,1264,Query_53861,,A0A098YFP1,TRUE
A0A099F8J6,99%,0,60.39,1247,Query_53862,,A0A099F8J6,TRUE
A0A099FG01,99%,0,60.53,1239,Query_53863,,A0A099FG01,TRUE
A0A099KUX4,99%,0,68.17,1230,Query_53864,,A0A099KUX4,TRUE
A0A0A0C2W3,99%,0,57.02,1220,Query_53865,,A0A0A0C2W3,TRUE
A0A0A0JMN8,99%,0,62.88,1275,Query_53866,,A0A0A0JMN8,TRUE
A0A0A0JZB8,99%,0,62.56,1269,Query_53867,,A0A0A0JZB8,TRUE
A0A0A0NHP2,96%,5.00E-178,30.98,1167,Query_53868,,A0A0A0NHP2,TRUE
A0A0A1H5L3,99%,0,61.61,1243,Query_53869,,A0A0A1H5L3,TRUE
